"audio,labels"
"anurans/LEEC05__0__20161231_183000_br_min_10.wav,anurans"
"anurans/LEEC05__0__20170103_213000_br_min_02.wav,anurans"
"anurans/LEEC05__0__20170103_221500_br_min_10.wav,anurans"
"anurans/LEEC05__0__20170115_200000_br_min_02.wav,anurans"
"anurans/LEEC05__0__20170116_204500_br_min_02.wav,anurans"
"anurans/LEEC05__0__20170119_200000_br_min_02.wav,anurans"
"anurans/LEEC05__0__20170119_204500_br_min_10.wav,anurans"
"anurans/LEEC05__0__20170121_221500_br_min_10.wav,anurans"
"anurans/LEEC05__0__20170126_191500_br_min_02.wav,anurans"
"anurans/LEEC06__0__20161025_204500_ma_min_02.wav,anurans"
"anurans/LEEC06__0__20161028_191500_ma_min_02.wav,anurans"
"anurans/LEEC06__0__20161102_191500_ma_min_10.wav,anurans"
"anurans/LEEC06__0__20161108_221500_ma_min_02.wav,anurans"
"anurans/LEEC06__0__20161109_221500_ma_min_02.wav,anurans"
"anurans/LEEC06__0__20161110_221500_ma_min_10.wav,anurans"
"anurans/LEEC06__0__20161112_204500_ma_min_10.wav,anurans"
"anurans/LEEC06__0__20161113_183000_ma_min_02.wav,anurans"
"anurans/LEEC06__0__20161116_200000_ma_min_10.wav,anurans"
"anurans/LEEC06__0__20161117_221500_ma_min_02.wav,anurans"
"anurans/LEEC06__0__20161119_200000_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161120_183000_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161120_200000_aa_min_10.wav,anurans"
"anurans/LEEC06__0__20161120_221500_aa_min_10.wav,anurans"
"anurans/LEEC06__0__20161123_191500_aa_min_10.wav,anurans"
"anurans/LEEC06__0__20161128_200000_aa_min_10.wav,anurans"
"anurans/LEEC06__0__20161201_191500_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161206_221500_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161214_221500_aa_min_10.wav,anurans"
"anurans/LEEC06__0__20161218_191500_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161219_183000_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161221_200000_aa_min_02.wav,anurans"
"anurans/LEEC06__0__20161230_183000_br_min_10.wav,anurans"
"anurans/LEEC06__0__20170101_213000_br_min_10.wav,anurans"
"anurans/LEEC06__0__20170101_221500_br_min_02.wav,anurans"
"anurans/LEEC06__0__20170104_221500_br_min_10.wav,anurans"
"anurans/LEEC06__0__20170108_191500_br_min_10.wav,anurans"
"anurans/LEEC06__0__20170110_221500_br_min_10.wav,anurans"
"anurans/LEEC06__0__20170113_213000_br_min_02.wav,anurans"
"anurans/LEEC06__0__20170114_191500_br_min_02.wav,anurans"
"anurans/LEEC06__0__20170117_191500_br_min_02.wav,anurans"
"anurans/LEEC06__0__20170120_200000_br_min_02.wav,anurans"
"anurans/LEEC06__0__20170124_213000_br_min_10.wav,anurans"
"anurans/LEEC08__0__20161029_213000_ma_min_10.wav,anurans"
"anurans/LEEC08__0__20161103_221500_ma_min_02.wav,anurans"
"anurans/LEEC08__0__20161111_213000_ma_min_10.wav,anurans"
"anurans/LEEC08__0__20161112_204500_ma_min_02.wav,anurans"
"anurans/LEEC08__0__20161115_204500_ma_min_02.wav,anurans"
"anurans/LEEC08__0__20161115_221500_ma_min_02.wav,anurans"
"anurans/LEEC08__0__20161117_204500_ma_min_10.wav,anurans"
"anurans/LEEC08__0__20161121_183000_aa_min_10.wav,anurans"
"anurans/LEEC08__0__20161121_191500_aa_min_02.wav,anurans"
"anurans/LEEC08__0__20161129_183000_aa_min_10.wav,anurans"
"anurans/LEEC08__0__20161204_200000_aa_min_10.wav,anurans"
"anurans/LEEC08__0__20161210_213000_aa_min_02.wav,anurans"
"anurans/LEEC08__0__20161210_213000_aa_min_10.wav,anurans"
"anurans/LEEC08__0__20161211_191500_aa_min_10.wav,anurans"
"anurans/LEEC08__0__20161215_213000_aa_min_02.wav,anurans"
"anurans/LEEC08__0__20161217_200000_aa_min_02.wav,anurans"
"anurans/LEEC08__0__20161217_204500_aa_min_10.wav,anurans"
"anurans/LEEC08__0__20161231_191500_br_min_10.wav,anurans"
"anurans/LEEC08__0__20161231_204500_br_min_02.wav,anurans"
"anurans/LEEC08__0__20161231_213000_br_min_02.wav,anurans"
"anurans/LEEC08__0__20170104_204500_br_min_02.wav,anurans"
"anurans/LEEC08__0__20170110_204500_br_min_10.wav,anurans"
"anurans/LEEC08__0__20170111_221500_br_min_10.wav,anurans"
"anurans/LEEC08__0__20170113_213000_br_min_02.wav,anurans"
"anurans/LEEC08__0__20170124_183000_br_min_02.wav,anurans"
"anurans/LEEC08__0__20170124_200000_br_min_02.wav,anurans"
"anurans/LEEC08__0__20170124_213000_br_min_10.wav,anurans"
"anurans/LEEC09__0__20161020_183000_ma_min_10.wav,anurans"
"anurans/LEEC09__0__20161027_204500_ma_min_02.wav,anurans"
"anurans/LEEC09__0__20161028_204500_ma_min_02.wav,anurans"
"anurans/LEEC09__0__20161030_221500_ma_min_10.wav,anurans"
"anurans/LEEC09__0__20161031_191500_ma_min_10.wav,anurans"
"anurans/LEEC09__0__20161112_221500_ma_min_10.wav,anurans"
"anurans/LEEC09__0__20161114_183000_ma_min_10.wav,anurans"
"anurans/LEEC09__0__20161122_183000_aa_min_02.wav,anurans"
"anurans/LEEC09__0__20161127_204500_aa_min_02.wav,anurans"
"anurans/LEEC09__0__20161202_183000_aa_min_02.wav,anurans"
"anurans/LEEC09__0__20161204_183000_aa_min_02.wav,anurans"
"anurans/LEEC09__0__20161214_204500_aa_min_02.wav,anurans"
"anurans/LEEC09__0__20161217_213000_aa_min_02.wav,anurans"
"anurans/LEEC09__0__20170101_200000_br_min_02.wav,anurans"
"anurans/LEEC09__0__20170101_221500_br_min_02.wav,anurans"
"anurans/LEEC09__0__20170102_204500_br_min_02.wav,anurans"
"anurans/LEEC09__0__20170102_204500_br_min_10.wav,anurans"
"anurans/LEEC09__0__20170102_221500_br_min_10.wav,anurans"
"anurans/LEEC09__0__20170105_183000_br_min_02.wav,anurans"
"anurans/LEEC09__0__20170105_213000_br_min_02.wav,anurans"
"anurans/LEEC09__0__20170124_183000_br_min_02.wav,anurans"
"anurans/LEEC09__0__20170126_204500_br_min_02.wav,anurans"
"anurans/LEEC15__0__20161019_200000_ma_min_02.wav,anurans"
"anurans/LEEC15__0__20161024_191500_ma_min_02.wav,anurans"
"anurans/LEEC15__0__20161024_221500_ma_min_02.wav,anurans"
"anurans/LEEC15__0__20161029_221500_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161030_213000_ma_min_02.wav,anurans"
"anurans/LEEC15__0__20161103_213000_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161104_204500_ma_min_02.wav,anurans"
"anurans/LEEC15__0__20161104_204500_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161108_204500_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161109_213000_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161110_204500_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161111_191500_ma_min_10.wav,anurans"
"anurans/LEEC15__0__20161112_213000_ma_min_02.wav,anurans"
"anurans/LEEC15__0__20161125_204500_aa_min_02.wav,anurans"
"anurans/LEEC15__0__20161126_221500_aa_min_10.wav,anurans"
"anurans/LEEC15__0__20161128_191500_aa_min_10.wav,anurans"
"anurans/LEEC15__0__20161130_204500_aa_min_10.wav,anurans"
"anurans/LEEC15__0__20161208_213000_aa_min_02.wav,anurans"
"anurans/LEEC15__0__20161213_183000_aa_min_02.wav,anurans"
"anurans/LEEC15__0__20161218_204500_aa_min_02.wav,anurans"
"anurans/LEEC15__0__20170120_200000_br_min_02.wav,anurans"
"anurans/LEEC15__0__20170125_200000_br_min_02.wav,anurans"
"anurans/LEEC18__0__20161019_213000_ma_min_02.wav,anurans"
"anurans/LEEC18__0__20161020_183000_ma_min_10.wav,anurans"
"anurans/LEEC18__0__20161020_200000_ma_min_02.wav,anurans"
"anurans/LEEC18__0__20161028_213000_ma_min_10.wav,anurans"
"anurans/LEEC18__0__20161029_204500_ma_min_02.wav,anurans"
"anurans/LEEC18__0__20161103_213000_ma_min_02.wav,anurans"
"anurans/LEEC18__0__20161104_191500_ma_min_02.wav,anurans"
"anurans/LEEC18__0__20161110_204500_ma_min_10.wav,anurans"
"anurans/LEEC18__0__20161110_221500_ma_min_02.wav,anurans"
"anurans/LEEC18__1__20161118_191500_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161118_221500_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161120_221500_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161121_191500_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161121_204500_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161123_191500_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161126_204500_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161201_200000_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161203_183000_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161203_183000_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161204_183000_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161209_191500_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161210_200000_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161211_191500_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161214_204500_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161214_221500_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161217_200000_aa_min_10.wav,anurans"
"anurans/LEEC18__1__20161218_183000_aa_min_02.wav,anurans"
"anurans/LEEC18__1__20161231_213000_br_min_02.wav,anurans"
"anurans/LEEC18__1__20170101_204500_br_min_10.wav,anurans"
"anurans/LEEC18__1__20170102_191500_br_min_02.wav,anurans"
"anurans/LEEC18__1__20170103_191500_br_min_02.wav,anurans"
"anurans/LEEC18__1__20170108_213000_br_min_02.wav,anurans"
"anurans/LEEC18__1__20170109_221500_br_min_10.wav,anurans"
"anurans/LEEC18__1__20170113_213000_br_min_10.wav,anurans"
"anurans/LEEC18__1__20170119_221500_br_min_02.wav,anurans"
"anurans/LEEC21__0__20161019_200000_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161022_183000_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161024_213000_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161028_204500_ma_min_10.wav,anurans"
"anurans/LEEC21__0__20161029_204500_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161105_191500_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161106_191500_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161106_200000_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161109_191500_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161113_221500_ma_min_02.wav,anurans"
"anurans/LEEC21__0__20161119_213000_aa_min_02.wav,anurans"
"anurans/LEEC21__0__20161125_183000_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161129_191500_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161129_204500_aa_min_02.wav,anurans"
"anurans/LEEC21__0__20161201_183000_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161202_204500_aa_min_02.wav,anurans"
"anurans/LEEC21__0__20161203_200000_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161206_200000_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161207_200000_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161207_204500_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20161213_191500_aa_min_02.wav,anurans"
"anurans/LEEC21__0__20161213_200000_aa_min_02.wav,anurans"
"anurans/LEEC21__0__20161215_183000_aa_min_10.wav,anurans"
"anurans/LEEC21__0__20170104_221500_br_min_02.wav,anurans"
"anurans/LEEC21__0__20170110_204500_br_min_02.wav,anurans"
"anurans/LEEC21__0__20170112_221500_br_min_02.wav,anurans"
"anurans/LEEC21__0__20170121_200000_br_min_10.wav,anurans"
"anurans/LEEC21__0__20170122_221500_br_min_02.wav,anurans"
"anurans/LEEC21__0__20170123_183000_br_min_10.wav,anurans"
"anurans/LEEC21__0__20170123_213000_br_min_02.wav,anurans"
"anurans/LEEC21__0__20170127_183000_br_min_10.wav,anurans"
"anurans/LEEC21__0__20170127_213000_br_min_10.wav,anurans"
"anurans/LEEC23__1__20161111_213000_ma_min_10.wav,anurans"
"anurans/LEEC23__1__20161114_183000_ma_min_10.wav,anurans"
"anurans/LEEC23__1__20161115_221500_ma_min_10.wav,anurans"
"anurans/LEEC23__1__20161116_183000_ma_min_10.wav,anurans"
"anurans/LEEC23__1__20161120_204500_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161128_204500_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161204_213000_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161209_204500_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161211_183000_aa_min_02.wav,anurans"
"anurans/LEEC23__1__20161211_204500_aa_min_02.wav,anurans"
"anurans/LEEC23__1__20161213_183000_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161213_191500_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161217_221500_aa_min_10.wav,anurans"
"anurans/LEEC23__1__20161229_213000_br_min_10.wav,anurans"
"anurans/LEEC23__1__20161231_183000_br_min_10.wav,anurans"
"anurans/LEEC23__1__20170107_204500_br_min_02.wav,anurans"
"anurans/LEEC23__1__20170107_221500_br_min_02.wav,anurans"
"anurans/LEEC23__1__20170110_183000_br_min_02.wav,anurans"
"anurans/LEEC23__1__20170122_191500_br_min_02.wav,anurans"
"anurans/LEEC23__1__20170123_213000_br_min_10.wav,anurans"
"anurans/LEEC23__1__20170124_204500_br_min_02.wav,anurans"
"anurans/LEEC23__1__20170125_204500_br_min_02.wav,anurans"
"anurans/LEEC24__0__20161024_221500_ma_min_02.wav,anurans"
"anurans/LEEC24__0__20161025_183000_ma_min_02.wav,anurans"
"anurans/LEEC24__0__20161028_213000_ma_min_10.wav,anurans"
"anurans/LEEC24__0__20161119_200000_aa_min_10.wav,anurans"
"anurans/LEEC24__0__20161121_191500_aa_min_02.wav,anurans"
"anurans/LEEC24__0__20161123_183000_aa_min_10.wav,anurans"
"anurans/LEEC24__0__20161123_200000_aa_min_10.wav,anurans"
"anurans/LEEC24__0__20161202_183000_aa_min_10.wav,anurans"
"anurans/LEEC24__0__20161204_213000_aa_min_02.wav,anurans"
"anurans/LEEC24__0__20161209_183000_aa_min_02.wav,anurans"
"anurans/LEEC24__0__20161209_213000_aa_min_02.wav,anurans"
"anurans/LEEC24__0__20161214_191500_aa_min_02.wav,anurans"
"anurans/LEEC24__0__20161219_213000_aa_min_10.wav,anurans"
"anurans/LEEC24__0__20161229_191500_br_min_10.wav,anurans"
"anurans/LEEC24__0__20170108_183000_br_min_02.wav,anurans"
"anurans/LEEC24__0__20170108_221500_br_min_02.wav,anurans"
"anurans/LEEC24__0__20170113_213000_br_min_02.wav,anurans"
"anurans/LEEC24__0__20170114_191500_br_min_10.wav,anurans"
"anurans/LEEC24__0__20170114_200000_br_min_02.wav,anurans"
"anurans/LEEC24__0__20170115_204500_br_min_02.wav,anurans"
"anurans/LEEC26__0__20161021_191500_ma_min_10.wav,anurans"
"anurans/LEEC26__0__20161026_183000_ma_min_02.wav,anurans"
"anurans/LEEC26__0__20161026_221500_ma_min_10.wav,anurans"
"anurans/LEEC26__0__20161030_191500_ma_min_02.wav,anurans"
"anurans/LEEC26__0__20161112_200000_ma_min_02.wav,anurans"
"anurans/LEEC26__0__20161113_200000_ma_min_02.wav,anurans"
"anurans/LEEC26__0__20161114_191500_ma_min_10.wav,anurans"
"anurans/LEEC26__0__20161116_191500_ma_min_02.wav,anurans"
"anurans/LEEC26__0__20161118_191500_ma_min_02.wav,anurans"
"anurans/LEEC26__0__20161219_213003_aa_min_10.wav,anurans"
"anurans/LEEC26__0__20161229_204500_br_min_02.wav,anurans"
"anurans/LEEC26__0__20161229_213000_br_min_10.wav,anurans"
"anurans/LEEC26__0__20170103_191500_br_min_10.wav,anurans"
"anurans/LEEC26__0__20170105_191500_br_min_02.wav,anurans"
"anurans/LEEC26__0__20170105_221500_br_min_02.wav,anurans"
"anurans/LEEC26__0__20170111_200000_br_min_02.wav,anurans"
"anurans/LEEC26__0__20170114_183000_br_min_10.wav,anurans"
"anurans/LEEC26__0__20170114_200000_br_min_10.wav,anurans"
"anurans/LEEC26__0__20170123_183000_br_min_02.wav,anurans"
"anurans/LEEC26__0__20170127_221500_br_min_02.wav,anurans"
"anurans/LEEC33__0__20161020_204500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161021_221500_ma_min_02.wav,anurans"
"anurans/LEEC33__0__20161024_191500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161028_221500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161030_204500_ma_min_02.wav,anurans"
"anurans/LEEC33__0__20161101_213000_ma_min_02.wav,anurans"
"anurans/LEEC33__0__20161103_221500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161106_191500_ma_min_02.wav,anurans"
"anurans/LEEC33__0__20161106_221500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161107_221500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161108_200000_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161110_183000_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161114_183000_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161115_204500_ma_min_10.wav,anurans"
"anurans/LEEC33__0__20161130_204500_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20161201_204500_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20161206_221500_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20161207_183000_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20161210_183000_aa_min_02.wav,anurans"
"anurans/LEEC33__0__20161212_183000_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20161219_183000_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20161219_221500_aa_min_02.wav,anurans"
"anurans/LEEC33__0__20161220_213000_aa_min_10.wav,anurans"
"anurans/LEEC33__0__20170101_200000_br_min_10.wav,anurans"
"anurans/LEEC33__0__20170103_191500_br_min_02.wav,anurans"
"anurans/LEEC33__0__20170104_204500_br_min_02.wav,anurans"
"anurans/LEEC33__0__20170108_191500_br_min_10.wav,anurans"
"anurans/LEEC33__0__20170109_183000_br_min_10.wav,anurans"
"anurans/LEEC33__0__20170109_221500_br_min_10.wav,anurans"
"anurans/LEEC33__0__20170111_200000_br_min_10.wav,anurans"
"anurans/LEEC33__0__20170117_204500_br_min_02.wav,anurans"
"anurans/LEEC33__0__20170119_221500_br_min_10.wav,anurans"
"anurans/LEEC33__0__20170120_191500_br_min_10.wav,anurans"
"anurans/LEEC36__0__20161019_191500_ma_min_10.wav,anurans"
"anurans/LEEC36__0__20161026_183000_ma_min_10.wav,anurans"
"anurans/LEEC36__0__20161027_191500_ma_min_02.wav,anurans"
"anurans/LEEC36__0__20161029_204500_ma_min_10.wav,anurans"
"anurans/LEEC36__0__20161030_204500_ma_min_10.wav,anurans"
"anurans/LEEC36__0__20161030_221500_ma_min_02.wav,anurans"
"anurans/LEEC36__0__20161108_213000_ma_min_02.wav,anurans"
"anurans/LEEC36__0__20161111_191500_ma_min_10.wav,anurans"
"anurans/LEEC36__0__20161111_221500_ma_min_10.wav,anurans"
"anurans/LEEC36__0__20161112_200000_ma_min_02.wav,anurans"
"anurans/LEEC36__0__20161114_183000_ma_min_02.wav,anurans"
"anurans/LEEC36__0__20161115_200000_ma_min_02.wav,anurans"
"anurans/LEEC36__0__20161119_191500_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20161121_200000_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20161122_200000_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20161123_183000_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20161130_183000_aa_min_02.wav,anurans"
"anurans/LEEC36__0__20161203_213000_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20161217_191500_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20161218_183000_aa_min_10.wav,anurans"
"anurans/LEEC36__0__20170106_204500_br_min_10.wav,anurans"
"anurans/LEEC36__0__20170106_213000_br_min_10.wav,anurans"
"anurans/LEEC36__0__20170108_221500_br_min_02.wav,anurans"
"anurans/LEEC36__0__20170115_200000_br_min_02.wav,anurans"
"anurans/LEEC36__0__20170123_183000_br_min_02.wav,anurans"
"anurans/LEEC37__0__20161019_183000_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161020_221500_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161021_204500_ma_min_10.wav,anurans"
"anurans/LEEC37__0__20161021_221500_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161025_200000_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161027_191500_ma_min_10.wav,anurans"
"anurans/LEEC37__0__20161029_200000_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161101_183000_ma_min_10.wav,anurans"
"anurans/LEEC37__0__20161107_200000_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161111_221500_ma_min_02.wav,anurans"
"anurans/LEEC37__0__20161114_221500_ma_min_10.wav,anurans"
"anurans/LEEC37__0__20161118_191500_aa_min_02.wav,anurans"
"anurans/LEEC37__0__20161119_183000_aa_min_02.wav,anurans"
"anurans/LEEC37__0__20161120_221500_aa_min_10.wav,anurans"
"anurans/LEEC37__0__20161124_183000_aa_min_02.wav,anurans"
"anurans/LEEC37__0__20161128_191500_aa_min_10.wav,anurans"
"anurans/LEEC37__0__20161204_191500_aa_min_10.wav,anurans"
"anurans/LEEC40__0__20161028_200000_ma_min_02.wav,anurans"
"anurans/LEEC40__0__20161028_200000_ma_min_10.wav,anurans"
"anurans/LEEC40__0__20161102_213000_ma_min_10.wav,anurans"
"anurans/LEEC40__0__20161103_221500_ma_min_02.wav,anurans"
"anurans/LEEC40__0__20161104_191500_ma_min_02.wav,anurans"
"anurans/LEEC40__0__20161108_221500_ma_min_02.wav,anurans"
"anurans/LEEC40__0__20161112_191500_ma_min_10.wav,anurans"
"anurans/LEEC40__0__20161116_200000_ma_min_10.wav,anurans"
"anurans/LEEC40__0__20161121_191500_aa_min_02.wav,anurans"
"anurans/LEEC40__0__20161125_213000_aa_min_02.wav,anurans"
